Tên File,Số Hiệu Văn Bản,Tổng Chương,Tổng Điều,Tổng Khoản,Tổng Điểm,Tổng Ký Tự,Độ Dài TB Điều,Tổng Lỗi/Cảnh Báo QA
254-2025-QH15.json,254/2025/QH15,3,13,75,58,62472,4805.54,3
46-2024-QH15.json,46/2024/QH15,8,76,278,141,84079,1106.3,8
49-2005-QH11.json,49/2005/QH11,6,83,189,56,47243,569.19,3
50-2005-QH11.json,50/2005/QH11,19,222,627,438,142953,643.93,13
59-2024-QH15.json,59/2024/QH15,10,179,650,526,167240,934.3,29
69-2020-QH14.json,69/2020/QH14,8,74,259,226,54822,740.84,16
75-2025-QH15.json,75/2025/QH15,1,3,68,78,15803,5267.67,3
78-2025-QH15.json,78/2025/QH15,1,16,181,143,46334,2895.88,53
91-2025-QH15.json,91/2025/QH15,5,39,170,119,35615,913.21,3
93-2015-QH13.json,93/2015/QH13,1,4,8,4,2194,548.5,0
Bo-luat-hang-hai-Viet-Nam-2015.json,95/2015/QH13,20,341,972,336,229093,671.83,14
Bo-luat-to-tung-dan-su-2015.json,92/2015/QH13,42,512,1362,712,383254,748.54,39
Luat-Bao-hiem-y-te-sua-doi-2024.json,51/2024/QH15,1,3,117,156,21975,7325.0,7
Luat-buu-chinh-2010.json,49/2010/QH12,10,46,198,93,33382,725.7,2
Luat-can-bo-cong-chuc-va-luat-vien-chuc-sua-doi-2019.json,52/2019/QH14,1,3,94,101,17833,5944.33,0
Luat-Hon-nhan-va-gia-dinh-2014.json,52/2014/QH13,9,133,294,80,77907,585.77,1
Luat-kiem-toan-nha-nuoc-2015.json,81/2015/QH13,9,73,231,97,41544,569.1,3
Luat-sua-doi-cac-Luat-ve-thue-2014.json,71/2014/QH13,0,0,0,0,0,0,0
Luat-thue-su-dung-dat-phi-nong-nghiep-2010.json,48/2010/QH12,1,13,45,14,8991,691.62,0
Nghi-dinh-129-2020-ND-CP-chuc-nang-nhiem-vu-va-co-che-hoat-dong-cua-Cong-ty-Mua-ban-no-Viet-Nam.json,129/2020/NĐ-CP,5,36,115,74,37287,1035.75,2
nghi-dinh-147-2020-nd-cp-quy-dinh-to-chuc-va-hoat-dong-cua-quy-dau-tu-phat-trien-dia-phuong.json,147/2020/NĐ-CP,7,55,178,171,50748,922.69,6
Nghi-dinh-45-2026-ND-CP-quan-ly-dau-tu-ung-dung-cong-nghe-thong-tin-su-dung-nguon-von-nha-nuoc.json,45/2026/NĐ-CP,6,49,321,302,81029,1653.65,11
Nghi-dinh-46-2021-ND-CP-che-do-quan-ly-tai-chinh-danh-gia-hieu-qua-Ngan-hang-Phat-trien-Viet-Nam.json,46/2021/NĐ-CP,10,42,129,161,30440,724.76,8
Nghi-dinh-46-2023-ND-CP-huong-dan-Luat-Kinh-doanh-bao-hiem.json,46/2023/NĐ-CP,8,123,546,645,141384,1149.46,16
Nghi-dinh-47-2026-ND-CP-sua-doi-Nghi-dinh-138-2021-ND-CP.json,47/2026/NĐ-CP,1,6,17,4,11923,1987.17,0
Nghi-dinh-48-2019-ND-CP-quan-ly-hoat-dong-cua-phuong-tien-du-lich-the-thao-vui-choi-giai-tri-duoi-nuoc.json,50,5,35,92,77,39548,1129.94,1
Nghi-dinh-49-2025-ND-CP-nguong-ap-dung-tam-hoan-xuat-canh.json,49/2025/NĐ-CP,1,5,13,0,7245,1449.0,0
Nghi-dinh-52-2024-ND-CP-thanh-toan-khong-dung-tien-mat.json,52/2024/NĐ-CP,7,57,224,102,97501,1710.54,7
Nghi-dinh-52-2026-ND-CP-quan-ly-su-dung-tai-san-tai-co-quan-Dang-Cong-san-Viet-Nam.json,52/2026/NĐ-CP,5,44,216,258,92149,2094.3,6
Nghi-dinh-52-CP-dieu-chinh-muc-thue-mon-bai.json,52-CP,1,3,0,0,1265,421.67,1
Nghi-dinh-53-2006-ND-CP-chinh-sach-khuyen-khich-phat-trien-co-so-cung-ung-dich-vu-ngoai-cong-lap.json,53/2006/NĐ-CP,1,18,55,23,16768,931.56,2
Nghi-dinh-53-2013-ND-CP-hoat-dong-Cong-ty-Quan-ly-tai-san-to-chuc-tin-dung.json,53/2013/NĐ-CP,1,35,119,98,23947,684.2,9
Nghi-dinh-55-2015-ND-CP-chinh-sach-tin-dung-phuc-vu-phat-trien-nong-nghiep-nong-thon.json,55/2015/NĐ-CP,4,27,85,19,22114,819.04,3
Nghi-dinh-55-2020-ND-CP-huong-dan-Luat-Thi-hanh-an-hinh-su-thi-hanh-an-phap-nhan-thuong-mai.json,55/2020/NĐ-CP,5,21,47,42,18019,858.05,2
Nghi-dinh-55-CP-phe-chuan-Dieu-le-to-chuc-va-hoat-dong-Tong-cong-ty-det-may-Viet-Nam.json,55-CP,1,3,181,0,58287,19429.0,0
Nghi-dinh-56-2012-ND-CP-quy-dinh-trach-nhiem-cua-Bo-nganh.json,56/2012/NĐ-CP,1,8,14,20,5271,658.88,2
Nghi-dinh-58-2018-ND-CP-bao-hiem-nong-nghiep.json,58/2018/NĐ-CP,5,43,203,57,50506,1174.56,1
Nghi-dinh-58-2020-ND-CP-dong-bao-hiem-xa-hoi-bat-buoc-vao-Quy-bao-hiem-tai-nan-lao-dong-nghe-nghiep.json,58/2020/NĐ-CP,5,20,82,24,30596,1529.8,0
Nghi-dinh-58-2024-ND-CP-chinh-sach-dau-tu-trong-lam-nghiep.json,Nghi-dinh-58-2024-ND-CP-chinh-sach-dau-tu-trong-lam-nghiep,5,42,310,249,73039,1739.02,10
Nghi-dinh-58-2025-ND-CP-huong-dan-Luat-Dien-luc-phat-trien-dien-nang-luong-tai-tao-dien-nang-luong-moi.json,58/2025/NĐ-CP,5,48,184,229,55582,1157.96,5
Nghi-dinh-59-2016-ND-CP-Chung-minh-quan-nhan-chuyen-nghiep-cong-nhan-vien-chuc-quoc-phong.json,59/2016/NĐ-CP,3,16,26,23,9312,582.0,0
Nghi-dinh-59-2021-ND-CP-quan-ly-tai-chinh-danh-gia-hoat-dong-So-Giao-dich-chung-khoan-Viet-Nam.json,59/2021/NĐ-CP,4,12,27,23,10101,841.75,2
Nghi-dinh-60-2016-ND-CP-quy-dinh-dieu-kien-dau-tu-kinh-doanh-linh-vuc-tai-nguyen-moi-truong.json,60/2016/NĐ-CP,5,33,514,155,57845,1752.88,5
Nghi-dinh-60-2021-ND-CP-co-che-tu-chu-tai-chinh-cua-don-vi-su-nghiep-cong-lap.json,60/2021/NĐ-CP,5,41,162,127,57826,1410.39,0
Nghi-dinh-61-2025-ND-CP-huong-dan-Luat-Dien-luc-ve-giay-phep-hoat-dong-dien-luc.json,61/2025/NĐ-CP,5,38,218,94,56577,1488.87,4
Nghi-dinh-62-2026-ND-CP-sua-doi-Nghi-dinh-06-2005-ND-CP-lap-Van-phong-dai-dien-to-chuc-nuoc-ngoai.json,62/2026/NĐ-CP,1,20,88,33,25595,1279.75,1
